KeypadModel,LutronModelInfoID,Family,DefaultButtonCount,Placeable,Notes
HQWT-S-PRRW-WH,3918,HomeWorks QS Wireless Tabletop / Pico,7,no,7-button Pico-style (used for music/scene combos)
HD-4B-AW,5338,HomeWorks Dimmer (in-wall switched),4,no,4-button at-wall dimmer
Phantom Keypad,1811,Virtual,18,no,Software keypad triggered by touchpanels / Control4 / Crestron via integration API
Porch Light In-line Switch,4772,HomeWorks (in-line),0,no,Wired in-line switch - no buttons
Lutron Lamp Dimmer,5029,HomeWorks Plug-in,0,no,Plug-in lamp dimmer module - no buttons
PALLADIOM-2B,3886,Palladiom,2,yes,Palladiom 2 Button (HQWT-U-P2W)
PALLADIOM-3B,3887,Palladiom,3,yes,Palladiom 3 Button (HQWT-U-P3W)
PALLADIOM-3BRL,3888,Palladiom,3,yes,Palladiom 3 Button with raise/lower (HQWT-U-PRW)
PALLADIOM-4B,3889,Palladiom,4,yes,Palladiom 4 Button (HQWT-U-P4W)
HQRD-W6BRL-WH,731,HomeWorks QS Wireless Designer (seeTouch RF),6,yes,6-button RF seeTouch with raise/lower
HQWD-W3S-WH,3558,HomeWorks QS Wired Designer (seeTouch),3,yes,3-button wired seeTouch with raise/lower
HQWD-W4BS-WH,1321,HomeWorks QS Wired Designer (seeTouch),4,yes,4-button wired seeTouch (no raise/lower)
HQWD-W4S-WH,1326,HomeWorks QS Wired Designer (seeTouch),4,yes,4-button wired seeTouch with raise/lower
HQWD-W5BRL-WH,1327,HomeWorks QS Wired Designer (seeTouch),5,yes,5-button wired seeTouch with raise/lower
HQWD-W6BRL-WH,1328,HomeWorks QS Wired Designer (seeTouch),6,yes,6-button wired seeTouch with raise/lower
HRST-W3RL-XX,5063,Sunnata RF,3,yes,3-button RF Sunnata with raise/lower
HQRD-PRO-WH,4863,HomeWorks QS RF (load-controlling dimmer),0,yes,RF dimmer - no buttons; controls a load directly via RF; confirmed at Trash Room Ext Door and Right of Front Door/By Entry in Ryan Smith Tuhaye.hw
HQRD-HN6BRL-WH,4320,HomeWorks QS RF Hybrid (seeTouch RF + built-in dimmer),6,yes,Hybrid: 6-button RF seeTouch-style keypad with a built-in dimmer controlling its own load; also programmable like a normal keypad for other zones; confirmed at multiple entry locations in Ryan Smith Tuhaye.hw
HQRD-8ANS-WH,729,HomeWorks QS RF (load-controlling switch),0,yes,RF switch (non-dimming) - no buttons; controls a load directly via RF; confirmed via dedicated 8ANS confirmation test station in Ryan Smith Tuhaye V3.hw
ALISSE-1COL-2B,5032,Alisse,2,yes,Alisse 1-Column 2 Button Keypad (Designer Model #: 1 Column (2B))
ALISSE-1COL-3B,5033,Alisse,3,yes,Alisse 1-Column 3 Button Keypad (Designer Model #: 1 Column (3B))
ALISSE-2COL-1B1B,5034,Alisse,2,yes,Alisse 2-Column 1B+1B Keypad (Designer Model #: 2 Column (1B-1B))
ALISSE-2COL-2B2B,5035,Alisse,4,yes,Alisse 2-Column 2B+2B Keypad (Designer Model #: 2 Column (2B-2B))
ALISSE-2COL-3B3B,5036,Alisse,6,yes,Alisse 2-Column 3B+3B Keypad (Designer Model #: 2 Column (3B-3B))
