"LoadTypeID","Description"
"0","Default"
"1","Incadescent"
"2","Fluorescent Dimming Ballast"
"3","Neon Cold Cathode"
"4","Non Dimmed"
"5","Electonic Low Voltage"
"6","Screen (Not Used)"
"7","Fan"
"8","Motor"
"9","Magnetic Low Voltage"
"11","TuWire"
"12","Zero to 10 Volt"
"13","Pulse Width Modulated"
"14","Tridonic1"
"15","Tridonic2"
"16","DALI"
"17","Circuit Selector 2 Fan (Not Used)"
"18","Circuit Selector 2 Motor (Not Used)"
"19","Auto Detect"
"20","Non Dimmed Incadescent"
"21","Non Dimmed Fluorescent"
"22","Non Dimmed Neon Cold Cathode"
"23","Non Dimmed Electronic Low Voltage"
"24","Non Dimmed Magnetic Low Voltage"
"25","Contact Closure Ouput Maintained"
"26","Contact Closure Output Pulsed"
"27","EcoSystem"
"28","Qed"
"29","Tridonic Logarithmic Scale"
"30","DALI Logarithmic Scale"
"31","10 to Zero Volt"
"32","Non Dimmed 60-40"
"33","Non Dimmed LOFO"
"34","Eco10"
"35","Non Dimmed EcoSystem"
"36","QS Shade"
"37","CCO Maintained Lighting"
"38","EcoSystem Ballast Module"
"40","Non Dimmed Metal Halide"
"41","Dali Emergency"
"42","Dali Emergency Unit"
"43","DMX 1-Channel Lighting"
"44","DMX 3-Channel Lighting"
"45","DMX 1-Channel Integration"
"46","Fully Variable Fan"
"47","Phillips CFL"
"48","Heating Ventilation Air Conditioning"
"49","Venetian Blind"
"53","Horizontal Sheer Blind"
"54","Receptacle (20A)"
"57","HomeWorks Digital load"
"58","Lumaris DayNight (Intensity, CCT)"
"92","KetraNet Legacy Light Source"
"93","Ketra GreenPhy Linear"
"94","Ketra Light Source"
"95","White Color (Linear Perceived)"
"96","White Intensity (Linear Perceived)"
"97","LED Ecosystem 0.1%"
"98","LED DALI (Linear)"
"100","Fluorescent Dimming 0-10V"
"101","Fluorescent Dimming 1%"
"102","Fluorescent Dimming 5%"
"103","Fluorescent Dimming 10%"
"104","Fluorescent Dimming DALI"
"105","Fluorescent EcoSystem 1%"
"106","Fluorescent EcoSystem 5%"
"107","Fluorescent EcoSystem 10%"
"108","Fluorescent Dimming TuWire"
"109","Fluorescent Non-Dim EcoSystem"
"110","Flourescent DSI"
"111","Incandescent/Halogen Non-Dim"
"112","LED 0-10V"
"113","LED 3-wire"
"114","LED DALI"
"115","LED DMX"
"116","LED EcoSystem"
"117","LED Forward Phase"
"118","LED Non-Dim"
"119","LED Reverse Phase"
"120","DALI 1%"
"121","DALI 5%"
"122","DALI 10%"
"123","DALI Emergency 1%"
"124","DALI Emergency 5%"
"125","DALI Emergency 10%"
"126","Dimmed"
"127","Fan Speed Quiet"
"128","Fan Exhaust"
"129","Sivoia QED"
"130","Sivoia QS"
"131","Auto Detect with LED Driver"
"132","Auto Detect with CFL"
"133","Relay"
"134","NonDimmedMotor"
"135","Honeywell Thermostat"
"136","Cree"
"137","LED Hi-lume A-Series 3-Wire"
"138","LED Lutron A-Series 2-Wire"
"140","Auto Detect with CL Dimmer"
"141","Hi-Lume A-Series LTE LED Driver (2-wire)"
"142","Hi-Lume A-Series L3D LED Driver (3-wire)"
"143","CONSTANT VOLTAGE LED"
"144","LEDZeroto10Volt (Color Temperature)"
"145","DMX 1-Channel Lighting (Color Temperature)"
"146","LEDEcoSystem (Color Temperature)"
"147","LED DALI (Color Temperature)"
"148","LED DALI (Linear Color Control)"
"149","SawDust \ Tilt only shade"
"150","Dali Type 8"
"151","Lumaris (Intensity, CCT)"
"152","LEDZeroToTenVoltElecOff"
"153","LutronDynamic"
"154","OmnikeetRGBWW"
"155","Lumaris WhiteTune Tape Light"
"156","RaniaLowLumenTape"
"157","LumarisWhiteTuneDownlight"
"158","Orluna by Lutron"
