ModuleType,LutronModelInfoID,DefaultOutputCount,Notes
DPM Adaptive (4-output dimmer),2472,4,Universal phase-adaptive dimmer; most common dimming module on this project
DALI Module,2606,64,Hosts up to 64 DALI ballasts on its DALI bus (each ballast is then a separate module entry)
DALI Ballast,1856,1,A single DALI driver/ballast addressed via a parent DALI Module
DMX Module,1230,512,512 DMX channels - one output per DMX address
QS Shade Controller (4-shade group),229,1,QS link shade group (one logical group per controller in this project)
QS Shade Controller (single),5044,1,Single-shade QS controller
Wireless Repeater,2454,0,No outputs - extends radio coverage
Processor,1886,0,Main HXP processor - already present, not a module to add
Processor Card,1392,0,Processor support card - already present
0-10V + Switching Module (4-output),4712,4,LQSE-4T5-120-D; DIN Rail Power Module 0-10V and Switching
0-10V + Softswitch Module 20A (4-output),5241,4,LQSE-4T20-120-D; Multi-Feed Capable DIN Rail Power Module 20A 0-10V and Switching
LED+ Adaptive Module (4-output),4888,4,LQSE-4A5-120-D; DIN Rail Power Module LED+ Adaptive 4 Output
Switching Module 8A (4 line-voltage + 1 contact closure),4710,5,LQSE-4S8-120-D; DIN Rail Power Module Switching 8A; 4 line-voltage switched outputs plus 1 contact closure output (5 total) - confirmed by Jeran
